Command: goForward, Timestamp: 2023-08-02 15:15:24, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRight, Timestamp: 2023-08-02 15:15:42, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:15:45, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeft, Timestamp: 2023-08-02 15:16:00, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:16:03, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeft, Timestamp: 2023-08-02 15:16:07, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:16:10, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeft, Timestamp: 2023-08-02 15:16:17, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:16:19, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRight, Timestamp: 2023-08-02 15:16:33, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:16:36, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeft, Timestamp: 2023-08-02 15:16:51, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:16:55, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goLeftUp, Timestamp: 2023-08-02 15:17:04, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:17:11, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goRight, Timestamp: 2023-08-02 15:17:18, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:17:26, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Command: goForward, Timestamp: 2023-08-02 15:17:45, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
Stop: Timestamp: 2023-08-02 15:17:49, Participant: dinaishP4, Amplitude: 9, Pulse width: 200
